Categoria: Todas as categorias
TOP
Tempo,100
2024,77
Filme,76
Tradução,70
Google,65
Google,62
YouTube,59
Vídeo,58
Preço,57
Inglês,54
Download,45
2023,42
Tempo,40
Jogo,40
Facebook,39
WhatsApp,36
Mulher,35
Automóvel,34
Significado,32
Criança,30
Notícia,30
Número,30
Canção,29

RISING
2024,Mais 2.000%
Jogos Paralímpicos,Mais 1.800%
2025,Mais 750%
Amazon,Mais 700%
Ingresso,Mais 600%
ChatGPT,Mais 500%
Jogos Paralímpicos Paris 2024,Mais 350%
Tênis em cadeira de rodas,Mais 300%
Emprego,Mais 120%
Samsung Electronics,Mais 100%
"Nike, Inc.",Mais 70%
Inteligência artificial,Mais 60%
Cadeira de rodas,Mais 60%
Chat,Mais 50%

